,concentration,batch,subidx
0,0,0,0
1,0,0,1
2,0,0,2
3,0,1,0
4,0,1,1
5,0,1,2
6,0,2,0
7,0,2,1
8,0,2,2
9,0,3,0
10,0,3,1
11,0,3,2
12,0,4,0
13,0,4,1
14,0,4,2
15,0,5,0
16,0,5,1
17,0,5,2
18,0,6,0
19,0,6,1
20,0,6,2
21,0,7,0
22,0,7,1
23,0,7,2
24,0,8,0
25,0,8,1
26,0,8,2
27,0,9,0
28,0,9,1
29,0,9,2
30,-15,0,0
31,-15,0,1
32,-15,0,2
33,-15,1,0
34,-15,1,1
35,-15,1,2
36,-15,2,0
37,-15,2,1
38,-15,2,2
39,-15,3,0
40,-15,3,1
41,-15,3,2
42,-15,4,0
43,-15,4,1
44,-15,4,2
45,-15,5,0
46,-15,5,1
47,-15,5,2
48,-15,6,0
49,-15,6,1
50,-15,6,2
51,-15,7,0
52,-15,7,1
53,-15,7,2
54,-15,8,0
55,-15,8,1
56,-15,8,2
57,-15,9,0
58,-15,9,1
59,-15,9,2
60,-14,0,0
61,-14,0,1
62,-14,0,2
63,-14,1,0
64,-14,1,1
65,-14,1,2
66,-14,2,0
67,-14,2,1
68,-14,2,2
69,-14,3,0
70,-14,3,1
71,-14,3,2
72,-14,4,0
73,-14,4,1
74,-14,4,2
75,-14,5,0
76,-14,5,1
77,-14,5,2
78,-14,6,0
79,-14,6,1
80,-14,6,2
81,-14,7,0
82,-14,7,1
83,-14,7,2
84,-14,8,0
85,-14,8,1
86,-14,8,2
87,-14,9,0
88,-14,9,1
89,-14,9,2
90,-13,0,0
91,-13,0,1
92,-13,0,2
93,-13,1,0
94,-13,1,1
95,-13,1,2
96,-13,2,0
97,-13,2,1
98,-13,2,2
99,-13,3,0
100,-13,3,1
101,-13,3,2
102,-13,4,0
103,-13,4,1
104,-13,4,2
105,-13,5,0
106,-13,5,1
107,-13,5,2
108,-13,6,0
109,-13,6,1
110,-13,6,2
111,-13,7,0
112,-13,7,1
113,-13,7,2
114,-13,8,0
115,-13,8,1
116,-13,8,2
117,-13,9,0
118,-13,9,1
119,-13,9,2
120,-12,0,0
121,-12,0,1
122,-12,0,2
123,-12,1,0
124,-12,1,1
125,-12,1,2
126,-12,2,0
127,-12,2,1
128,-12,2,2
129,-12,3,0
130,-12,3,1
131,-12,3,2
132,-12,4,0
133,-12,4,1
134,-12,4,2
135,-12,5,0
136,-12,5,1
137,-12,5,2
138,-12,6,0
139,-12,6,1
140,-12,6,2
141,-12,7,0
142,-12,7,1
143,-12,7,2
144,-12,8,0
145,-12,8,1
146,-12,8,2
147,-12,9,0
148,-12,9,1
149,-12,9,2
150,-11,0,0
151,-11,0,1
152,-11,0,2
153,-11,1,0
154,-11,1,1
155,-11,1,2
156,-11,2,0
157,-11,2,1
158,-11,2,2
159,-11,3,0
160,-11,3,1
161,-11,3,2
162,-11,4,0
163,-11,4,1
164,-11,4,2
165,-11,5,0
166,-11,5,1
167,-11,5,2
168,-11,6,0
169,-11,6,1
170,-11,6,2
171,-11,7,0
172,-11,7,1
173,-11,7,2
174,-11,8,0
175,-11,8,1
176,-11,8,2
177,-11,9,0
178,-11,9,1
179,-11,9,2
180,-10,0,0
181,-10,0,1
182,-10,0,2
183,-10,1,0
184,-10,1,1
185,-10,1,2
186,-10,2,0
187,-10,2,1
188,-10,2,2
189,-10,3,0
190,-10,3,1
191,-10,3,2
192,-10,4,0
193,-10,4,1
194,-10,4,2
195,-10,5,0
196,-10,5,1
197,-10,5,2
198,-10,6,0
199,-10,6,1
200,-10,6,2
201,-10,7,0
202,-10,7,1
203,-10,7,2
204,-10,8,0
205,-10,8,1
206,-10,8,2
207,-10,9,0
208,-10,9,1
209,-10,9,2
210,-9,0,0
211,-9,0,1
212,-9,0,2
213,-9,1,0
214,-9,1,1
215,-9,1,2
