,concentration,batch,subidx
0,0,1,1
1,0,1,2
2,0,1,3
3,0,2,1
4,0,2,2
5,0,2,3
6,0,3,1
7,0,3,2
8,0,3,3
9,0,4,1
10,0,4,2
11,0,4,3
12,0,5,1
13,0,5,2
14,0,5,3
15,0,6,1
16,0,6,2
17,0,6,3
18,0,7,1
19,0,7,2
20,0,7,3
21,0,8,1
22,0,8,2
23,0,8,3
24,0,9,1
25,0,9,2
26,0,9,3
27,0,10,1
28,0,10,2
29,0,10,3
30,-6,1,1
31,-6,1,2
32,-6,1,3
33,-6,2,1
34,-6,2,2
35,-6,2,3
36,-6,3,1
37,-6,3,2
38,-6,3,3
39,-6,4,1
40,-6,4,2
41,-6,4,3
42,-6,5,1
43,-6,5,2
44,-6,5,3
45,-6,6,1
46,-6,6,2
47,-6,6,3
48,-6,7,1
49,-6,7,2
50,-6,7,3
51,-6,8,1
52,-6,8,2
53,-6,8,3
54,-6,9,1
55,-6,9,2
56,-6,9,3
57,-6,10,1
58,-6,10,2
59,-6,10,3
60,-7,1,1
61,-7,1,2
62,-7,1,3
63,-7,2,1
64,-7,2,2
65,-7,2,3
66,-7,3,1
67,-7,3,2
68,-7,3,3
69,-7,4,1
70,-7,4,2
71,-7,4,3
72,-7,5,1
73,-7,5,2
74,-7,5,3
75,-7,6,1
76,-7,6,2
77,-7,6,3
78,-7,7,1
79,-7,7,2
80,-7,7,3
81,-7,8,1
82,-7,8,2
83,-7,8,3
84,-7,9,1
85,-7,9,2
86,-7,9,3
87,-7,10,1
88,-7,10,2
89,-7,10,3
90,-8,1,1
91,-8,1,2
92,-8,1,3
93,-8,2,1
94,-8,2,2
95,-8,2,3
96,-8,3,1
97,-8,3,2
98,-8,3,3
99,-8,4,1
100,-8,4,2
101,-8,4,3
102,-8,5,1
103,-8,5,2
104,-8,5,3
105,-8,6,1
106,-8,6,2
107,-8,6,3
108,-8,7,1
109,-8,7,2
110,-8,7,3
111,-8,8,1
112,-8,8,2
113,-8,8,3
114,-8,9,1
115,-8,9,2
116,-8,9,3
117,-8,10,1
118,-8,10,2
119,-8,10,3
120,-9,1,1
121,-9,1,2
122,-9,1,3
123,-9,2,1
124,-9,2,2
125,-9,2,3
126,-9,3,1
127,-9,3,2
128,-9,3,3
129,-9,4,1
130,-9,4,2
131,-9,4,3
132,-9,5,1
133,-9,5,2
134,-9,5,3
135,-9,6,1
136,-9,6,2
137,-9,6,3
138,-9,7,1
139,-9,7,2
140,-9,7,3
141,-9,8,1
142,-9,8,2
143,-9,8,3
144,-9,9,1
145,-9,9,2
146,-9,9,3
147,-9,10,1
148,-9,10,2
149,-9,10,3
150,-10,1,1
151,-10,1,2
152,-10,1,3
153,-10,2,1
154,-10,2,2
155,-10,2,3
156,-10,3,1
157,-10,3,2
158,-10,3,3
159,-10,4,1
160,-10,4,2
161,-10,4,3
162,-10,5,1
163,-10,5,2
164,-10,5,3
165,-10,6,1
166,-10,6,2
167,-10,6,3
168,-10,7,1
169,-10,7,2
170,-10,7,3
171,-10,8,1
172,-10,8,2
173,-10,8,3
174,-10,9,1
175,-10,9,2
176,-10,9,3
177,-10,10,1
178,-10,10,2
179,-10,10,3
180,-11,1,1
181,-11,1,2
182,-11,1,3
183,-11,2,1
184,-11,2,2
185,-11,2,3
186,-11,3,1
187,-11,3,2
188,-11,3,3
189,-11,4,1
190,-11,4,2
191,-11,4,3
192,-11,5,1
193,-11,5,2
194,-11,5,3
195,-11,6,1
196,-11,6,2
197,-11,6,3
198,-11,7,1
199,-11,7,2
200,-11,7,3
201,-11,8,1
202,-11,8,2
203,-11,8,3
204,-11,9,1
205,-11,9,2
206,-11,9,3
207,-11,10,1
208,-11,10,2
209,-11,10,3
210,0,1,1
211,0,1,2
212,0,1,3
213,0,2,1
214,0,2,2
215,0,2,3
216,0,3,1
217,0,3,2
218,0,3,3
219,0,4,1
220,0,4,2
221,0,4,3
222,0,5,1
223,0,5,2
224,0,5,3
225,0,6,1
226,0,6,2
227,0,6,3
228,0,7,1
229,0,7,2
230,0,7,3
231,0,8,1
232,0,8,2
233,0,8,3
234,0,9,1
235,0,9,2
236,0,9,3
237,0,10,1
238,0,10,2
239,0,10,3
